"date","sessions","goal1.completions","goal2.completions","goal3.completions"
2013-08-22,92,8,2,1
2013-08-23,81,3,0,3
2013-08-24,31,1,0,1
2013-08-25,51,3,0,0
2013-08-26,118,8,0,2
2013-08-27,116,12,0,2
2013-08-28,144,14,0,2
2013-08-29,119,7,1,2
2013-08-30,90,9,2,0
2013-08-31,36,3,0,0
2013-09-01,47,3,0,1
2013-09-02,169,9,2,2
2013-09-03,198,19,1,1
2013-09-04,176,10,1,3
2013-09-05,197,16,2,1
2013-09-06,125,10,0,2
2013-09-07,46,4,0,0
2013-09-08,54,6,1,1
2013-09-09,182,23,2,1
2013-09-10,197,15,1,2
2013-09-11,145,11,1,1
2013-09-12,164,11,1,6
2013-09-13,131,9,3,1
2013-09-14,51,2,0,3
2013-09-15,61,7,2,1
2013-09-16,163,19,2,2
2013-09-17,171,11,2,4
2013-09-18,210,9,0,2
2013-09-19,198,13,1,2
2013-09-20,157,12,3,4
2013-09-21,52,8,0,1
2013-09-22,58,5,0,0
2013-09-23,160,17,2,2
2013-09-24,168,9,1,3
2013-09-25,199,7,0,3
2013-09-26,176,7,0,2
2013-09-27,126,8,0,2
2013-09-28,57,4,0,0
2013-09-29,69,10,0,1
2013-09-30,187,15,1,2
2013-10-01,192,12,1,4
2013-10-02,215,13,0,2
2013-10-03,201,17,3,2
2013-10-04,126,7,0,0
2013-10-05,90,4,2,0
2013-10-06,82,3,0,3
2013-10-07,193,12,0,2
2013-10-08,237,17,1,0
2013-10-09,218,21,1,1
2013-10-10,167,11,1,3
2013-10-11,136,5,0,1
2013-10-12,36,3,0,0
2013-10-13,71,4,0,1
2013-10-14,179,6,0,2
2013-10-15,204,17,2,2
2013-10-16,204,17,0,0
2013-10-17,157,12,1,1
2013-10-18,167,4,0,3
2013-10-19,67,1,0,0
2013-10-20,57,3,0,1
2013-10-21,245,11,1,3
2013-10-22,213,18,0,3
2013-10-23,170,10,2,1
2013-10-24,176,9,0,2
2013-10-25,141,9,2,1
2013-10-26,62,5,0,0
2013-10-27,80,10,0,2
2013-10-28,213,22,2,3
2013-10-29,225,15,0,1
2013-10-30,194,16,0,2
2013-10-31,161,11,0,1
2013-11-01,59,3,1,0
2013-11-02,48,5,0,0
2013-11-03,65,7,0,0
2013-11-04,151,18,0,1
2013-11-05,168,8,1,1
2013-11-06,221,13,1,2
2013-11-07,152,7,0,1
2013-11-08,132,5,0,0
2013-11-09,43,1,0,1
2013-11-10,65,7,0,2
2013-11-11,156,12,1,0
2013-11-12,191,18,0,1
2013-11-13,171,21,0,4
2013-11-14,162,11,1,2
2013-11-15,111,5,0,2
2013-11-16,78,5,0,0
2013-11-17,73,10,0,0
2013-11-18,142,15,1,1
2013-11-19,170,15,2,3
2013-11-20,175,10,0,1
2013-11-21,154,6,0,1
2013-11-22,150,12,0,1
2013-11-23,70,3,0,0
2013-11-24,55,1,0,2
2013-11-25,170,9,0,2
2013-11-26,160,4,0,2
2013-11-27,187,9,0,2
2013-11-28,125,6,1,2
2013-11-29,100,6,0,0
2013-11-30,66,4,0,1
2013-12-01,74,2,0,0
2013-12-02,140,8,1,3
2013-12-03,150,9,0,1
2013-12-04,145,11,0,1
2013-12-05,103,2,1,1
2013-12-06,28,1,0,0
2013-12-07,35,0,0,0
2013-12-08,51,3,0,2
2013-12-09,115,6,1,2
2013-12-10,151,4,0,2
2013-12-11,138,9,0,1
2013-12-12,100,7,0,1
2013-12-13,96,7,0,1
2013-12-14,51,1,0,1
2013-12-15,42,4,0,0
2013-12-16,112,3,0,1
2013-12-17,101,7,2,1
2013-12-18,99,4,0,0
2013-12-19,114,1,0,0
2013-12-20,78,6,0,1
2013-12-21,39,4,0,0
2013-12-22,36,1,0,0
2013-12-23,47,2,0,0
2013-12-24,26,1,0,1
2013-12-25,30,1,0,0
2013-12-26,69,7,0,2
2013-12-27,115,2,0,1
2013-12-28,48,3,0,1
2013-12-29,30,6,0,1
